Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter,Is_Injured,Usage_Boost,DvP_Boost,Injury_Penalty,FPT_roll_mean,MIN_roll_mean,Usage_Raw,Allow_FPT
N. Hifi,G,,13.6,173.57,264.13,19.421,0,0,90.44,0.12,0.0,172.8,187.0,4.08,12.8065
S. Vezenkov,F,,17.9,180.27,239.66,13.389,1,0,61.44,-2.05,0.0,196.9,225.0,3.06,11.7815
F. Petrusev,F,,15.1,179.89,227.71,15.08,1,0,49.86,-2.04,0.0,185.2,210.0,2.7,11.7815
C. Moneke,F,,16.7,179.28,225.99,13.532,0,0,48.74,-2.04,0.0,174.9,202.0,2.67,11.7815
S. Francisco,G,,15.6,162.36,217.81,13.962,1,0,55.33,0.11,0.0,164.1,203.0,3.06,12.8065
M. James,G,,15.8,154.3,215.45,13.636,0,0,61.04,0.11,0.0,150.6,238.0,3.37,12.8065
T. Luwawu-cabarrot,F,,11.3,155.02,210.75,18.651,0,0,57.49,-1.76,0.0,154.3,227.0,3.23,11.7815
K. Nunn,G,,15.8,146.1,209.17,13.238,0,0,62.96,0.1,0.0,144.8,241.0,3.57,12.8065
N. Milutinov,C,,14.9,179.82,205.57,13.797,1,0,21.88,3.88,0.0,184.1,179.0,1.82,14.581
J. Nwora,F,,13.1,154.21,193.02,14.735,0,0,40.56,-1.75,0.0,151.4,182.0,2.62,11.7815
W. Baldwin Iv,G,,11.9,137.1,184.89,15.537,1,0,47.69,0.1,0.0,137.6,196.0,3.1,12.8065
T. Dorsey,G,,10.4,132.49,177.74,17.09,0,0,45.15,0.09,0.0,132.7,220.0,3.06,12.8065
M. Wright,C,,12.4,149.12,176.28,14.216,0,0,23.94,3.22,0.0,149.3,169.0,2.04,14.581
S. Larkin,G,,13.8,123.0,168.05,12.178,0,0,44.96,0.09,0.0,124.2,263.0,3.2,12.8065
O. Moore,G,,11.5,132.46,167.4,14.556,0,0,34.84,0.09,0.0,132.4,182.0,2.62,12.8065
C. Miller-mcintyre,G,,11.8,122.93,166.43,14.104,1,0,43.42,0.09,0.0,123.4,243.0,3.13,12.8065
D. Theis,C,,14.0,145.22,165.77,11.841,0,0,17.41,3.13,0.0,144.9,181.0,1.81,14.581
T. Jones,C,,14.9,138.5,164.21,11.021,0,0,22.72,2.99,0.0,138.6,202.0,2.06,14.581
D. Oturu,C,,11.9,137.05,161.77,13.594,0,0,21.76,2.96,0.0,137.0,191.0,2.03,14.581
V. Micic,G,,15.2,122.66,159.77,10.511,1,0,37.03,0.09,0.0,121.2,201.0,2.84,12.8065
W. Clyburn,F,,13.3,131.95,159.1,11.962,0,0,28.65,-1.5,0.0,130.5,202.0,2.36,11.7815
E. Bryant,G,,13.6,132.19,158.64,11.665,0,0,26.36,0.09,0.0,131.4,224.0,2.26,12.8065
T. Lyles,F,,12.8,131.99,158.45,12.379,0,0,27.96,-1.5,0.0,130.3,165.0,2.33,11.7815
H. Diallo,F,,11.4,119.7,150.47,13.199,1,0,32.12,-1.36,0.0,119.5,181.0,2.65,11.7815
D. Thompson,G,,11.9,122.75,149.49,12.562,0,0,26.65,0.09,0.0,124.0,166.0,2.36,12.8065
C. Osman,F,,13.1,122.45,147.42,11.254,0,0,26.37,-1.39,0.0,122.8,213.0,2.35,11.7815
A. Obst,G,,8.8,121.91,146.95,16.699,0,0,24.96,0.09,0.0,121.8,191.0,2.29,12.8065
I. Mike,F,,9.5,122.34,146.21,15.391,0,0,25.26,-1.39,0.0,122.7,193.0,2.3,11.7815
A. Diallo,F,,11.8,122.33,144.69,12.261,0,0,23.75,-1.39,0.0,122.6,237.0,2.23,11.7815
N. De Colo,G,,13.0,119.05,142.04,10.926,0,0,22.9,0.08,0.0,118.5,136.0,2.22,12.8065
N. Mirotic,F,,14.8,123.17,141.11,9.534,0,0,19.34,-1.4,0.0,123.5,160.0,2.02,11.7815
S. Shields,F,,13.6,114.43,138.98,10.219,1,0,25.85,-1.3,0.0,114.6,214.0,2.41,11.7815
C. Edwards,G,,13.1,96.82,134.51,10.268,1,0,37.62,0.07,0.0,96.9,195.0,3.33,12.8065
A. Blakeney,G,,10.1,109.28,133.46,13.214,0,0,24.11,0.08,0.0,108.9,164.0,2.38,12.8065
J. Hoard,F,,13.9,114.06,131.88,9.488,0,0,19.12,-1.3,0.0,113.6,222.0,2.08,11.7815
E. Osmani,F,,8.3,109.98,131.44,15.837,0,0,22.71,-1.25,0.0,110.1,197.0,2.3,11.7815
W. Tavares,C,,14.6,119.19,130.79,8.958,1,0,9.02,2.57,0.0,119.6,175.0,1.56,14.581
S. Brown,G,,10.9,103.78,130.42,11.965,1,0,26.57,0.07,0.0,105.3,234.0,2.58,12.8065
J. Robinson,G,,11.8,103.91,129.84,11.004,0,0,25.86,0.07,0.0,104.2,127.0,2.54,12.8065
D. Booker,C,,12.8,114.28,129.44,10.113,0,0,12.69,2.47,0.0,114.5,194.0,1.76,14.581
L. Walker Iv,G,,13.3,99.47,129.22,9.715,1,0,29.68,0.07,0.0,99.2,192.0,2.82,12.8065
I. Bonga,F,,10.2,119.14,128.7,12.618,0,0,10.92,-1.35,0.0,119.1,217.0,1.65,11.7815
J. Hernangomez,F,,13.8,115.38,126.88,9.194,1,0,12.81,-1.31,0.0,116.4,210.0,1.76,11.7815
D. Bacon,F,,11.3,94.97,121.89,10.787,0,0,28.0,-1.08,0.0,93.7,240.0,2.8,11.7815
D. Hall,G,,9.1,103.76,119.75,13.16,0,0,15.92,0.07,0.0,104.2,204.0,2.0,12.8065
K. Punter,G,,12.7,96.65,116.33,9.16,0,0,19.62,0.07,0.0,96.7,198.0,2.28,12.8065
G. Watson,G,,10.1,94.33,114.87,11.373,0,0,20.48,0.07,0.0,93.2,189.0,2.36,12.8065
T. Shengelia,F,,16.4,157.8,114.71,6.994,1,1,37.6,-1.79,78.9,155.2,203.0,2.48,11.7815
I. Cordinier,G,,10.7,96.0,111.82,10.451,1,0,15.75,0.07,0.0,95.9,231.0,2.06,12.8065
R. Sorkin,F,,10.5,95.19,108.21,10.305,0,0,14.1,-1.08,0.0,95.0,156.0,1.97,11.7815
A. Smailagic,F,,9.7,95.76,104.96,10.821,1,0,10.3,-1.09,0.0,95.5,169.0,1.74,11.7815
T. Satoransky,G,,10.4,95.83,104.51,10.049,1,0,8.61,0.07,0.0,95.7,186.0,1.64,12.8065
M. Kabengele,C,,13.4,145.73,104.3,7.783,1,1,28.29,3.14,72.86,147.0,166.0,2.23,14.581
D. Hall,C,,12.6,101.63,101.99,8.095,0,0,-1.83,2.19,0.0,100.9,125.0,1.03,14.581
L. Bolmaro,G,,9.0,88.16,100.5,11.167,1,0,12.28,0.06,0.0,87.9,185.0,1.92,12.8065
T. Leaf,F,,11.3,96.06,99.52,8.807,0,0,4.56,-1.09,0.0,96.1,139.0,1.4,11.7815
C. Malcolm,F,,8.9,97.04,98.48,11.065,1,0,2.54,-1.1,0.0,97.3,198.0,1.28,11.7815
K. Sloukas,G,,11.8,87.4,97.93,8.3,1,0,10.48,0.06,0.0,87.0,153.0,1.81,12.8065
M. Hezonja,F,,12.4,79.1,97.75,7.883,0,0,19.55,-0.9,0.0,79.2,168.0,2.53,11.7815
K. Taylor,F,,9.7,90.58,97.37,10.038,1,0,7.82,-1.03,0.0,90.9,166.0,1.62,11.7815
M. Wright Iv,G,,10.2,82.6,95.92,9.404,1,0,13.26,0.06,0.0,83.6,248.0,2.04,12.8065
T. Blatt,G,,8.4,81.25,94.21,11.216,0,0,12.9,0.06,0.0,81.8,172.0,2.03,12.8065
E. Okobo,G,,11.2,78.06,94.1,8.402,0,0,15.98,0.05,0.0,78.0,198.0,2.29,12.8065
T. Ward,F,,9.7,86.76,94.03,9.693,0,0,8.25,-0.99,0.0,85.7,168.0,1.67,11.7815
M. Ndiaye,C,,7.5,87.11,91.73,12.231,0,0,2.75,1.88,0.0,87.0,183.0,1.31,14.581
J. Loyd,G,,8.9,79.15,90.23,10.138,0,0,11.03,0.06,0.0,79.2,176.0,1.92,12.8065
N. Reuvers,F,,7.8,87.17,90.16,11.559,0,0,3.98,-0.99,0.0,87.1,159.0,1.39,11.7815
M. Guduric,G,,10.8,81.01,89.06,8.246,0,0,7.99,0.06,0.0,81.1,159.0,1.69,12.8065
S. Niang,F,,8.1,87.41,89.02,10.99,0,0,2.6,-0.99,0.0,87.4,157.0,1.3,11.7815
C. Okeke,F,,12.6,87.35,86.95,6.901,0,0,0.59,-0.99,0.0,87.1,127.0,1.17,11.7815
J. Vesely,C,,10.4,77.03,86.3,8.298,0,0,7.6,1.66,0.0,76.9,143.0,1.69,14.581
A. Brooks,G,,7.8,77.11,84.23,10.799,0,0,7.06,0.05,0.0,77.3,136.0,1.65,12.8065
M. Lo,G,,9.4,74.94,82.92,8.821,0,0,7.92,0.05,0.0,74.7,149.0,1.73,12.8065
B. Colson,F,,9.2,79.23,82.51,8.969,0,0,4.18,-0.9,0.0,79.5,134.0,1.43,11.7815
N. Kalinic,F,,9.6,78.24,81.06,8.444,1,0,3.71,-0.89,0.0,78.5,205.0,1.4,11.7815
M. Costello,F,,10.0,77.64,80.44,8.044,0,0,3.68,-0.88,0.0,77.5,161.0,1.4,11.7815
A. Pajola,G,,7.8,77.49,80.4,10.307,1,0,2.85,0.05,0.0,77.8,154.0,1.34,12.8065
F. Campazzo,G,,13.0,71.99,80.16,6.166,1,0,8.12,0.05,0.0,72.4,183.0,1.77,12.8065
T. Horton Tucker,G,,10.2,70.05,79.48,7.792,0,0,9.39,0.05,0.0,70.1,136.0,1.89,12.8065
A. Tubelis,F,,8.6,76.8,79.43,9.236,1,0,3.51,-0.87,0.0,76.6,147.0,1.39,11.7815
D. Willis,F,,8.4,76.97,79.2,9.429,0,0,3.11,-0.87,0.0,76.9,144.0,1.36,11.7815
T. Maledon,G,,13.2,74.44,79.08,5.991,0,0,4.58,0.05,0.0,74.5,95.0,1.48,12.8065
O. Da Silva,F,,7.2,82.1,78.39,10.888,0,0,-2.78,-0.93,0.0,83.3,100.0,0.94,11.7815
C. Jones,G,,10.6,69.88,77.81,7.34,0,0,7.88,0.05,0.0,69.8,156.0,1.77,12.8065
A. Butkevicius,F,,6.8,80.46,77.68,11.423,1,0,-1.87,-0.91,0.0,80.2,166.0,1.0,11.7815
J. Dowtin Jr,G,,10.7,70.08,77.3,7.224,0,0,7.16,0.05,0.0,70.4,142.0,1.71,12.8065
D. Motiejunas,C,,7.7,74.03,76.91,9.988,1,0,1.29,1.6,0.0,73.7,103.0,1.23,14.581
S. Herrera,G,,5.6,69.43,76.7,13.696,0,0,7.22,0.05,0.0,69.1,151.0,1.72,12.8065
Z. Seljaas,F,,9.2,71.48,76.59,8.325,0,0,5.92,-0.81,0.0,71.9,183.0,1.6,11.7815
M. Morgan,G,,8.0,65.89,76.05,9.506,0,0,10.11,0.05,0.0,65.8,145.0,2.0,12.8065
D. Bertans,F,,8.8,67.42,75.81,8.615,0,0,9.16,-0.77,0.0,67.5,177.0,1.9,11.7815
M. Strazel,G,,7.4,69.89,74.99,10.133,1,0,5.04,0.05,0.0,69.5,168.0,1.54,12.8065
T. Sedekerskis,F,,10.0,70.28,73.44,7.344,1,0,3.95,-0.8,0.0,70.2,206.0,1.45,11.7815
V. Lucic,F,,8.3,71.25,73.19,8.818,1,0,2.75,-0.81,0.0,71.3,198.0,1.35,11.7815
T. Forrest,G,,10.4,71.01,72.54,6.975,0,0,1.49,0.05,0.0,71.0,98.0,1.25,12.8065
J. Motley,C,,11.8,68.11,72.45,6.14,0,0,2.87,1.47,0.0,68.3,129.0,1.37,14.581
C. Jones,G,,14.1,67.2,72.1,5.113,0,0,4.85,0.05,0.0,67.1,150.0,1.54,12.8065
K. Jallow,F,,8.8,71.17,71.6,8.136,0,0,1.24,-0.81,0.0,71.1,209.0,1.23,11.7815
D. Osetkowski,F,,9.0,69.94,70.48,7.832,1,0,1.34,-0.79,0.0,70.0,138.0,1.24,11.7815
G. Deck,F,,9.9,71.3,69.84,7.055,0,0,-0.65,-0.81,0.0,71.6,158.0,1.08,11.7815
J. Pradilla,C,,9.2,66.93,69.65,7.571,1,0,1.28,1.44,0.0,66.8,173.0,1.24,14.581
E. Izundu,C,,8.3,66.91,69.28,8.347,0,0,0.93,1.44,0.0,66.9,120.0,1.21,14.581
L. Birutis,C,,6.8,67.36,68.2,10.03,1,0,-0.61,1.45,0.0,67.6,118.0,1.08,14.581
J. Parker,F,,10.9,60.47,66.39,6.091,0,0,6.61,-0.69,0.0,60.5,160.0,1.75,11.7815
W. Hernangomez,C,,10.8,63.17,66.3,6.139,0,0,1.77,1.36,0.0,63.0,110.0,1.29,14.581
M. Nowell,G,,8.7,60.47,65.09,7.482,0,0,4.58,0.04,0.0,60.9,142.0,1.56,12.8065
M. Spagnolo,G,,8.0,62.99,65.02,8.127,0,0,1.99,0.04,0.0,62.9,123.0,1.31,12.8065
N. Weiler-babb,G,,11.1,108.32,63.97,5.763,1,1,9.73,0.08,54.16,108.8,218.0,1.64,12.8065
Q. Ellis,G,,7.1,60.41,63.1,8.888,0,0,2.65,0.04,0.0,61.3,169.0,1.38,12.8065
J. Blossomgame,F,,8.0,63.01,63.06,7.882,1,0,0.76,-0.72,0.0,62.9,160.0,1.2,11.7815
O. Yurtseven,C,,9.8,104.05,60.68,6.191,0,1,6.41,2.25,52.02,104.2,136.0,1.48,14.581
B. Badio,G,,8.5,55.55,60.48,7.115,0,0,4.89,0.04,0.0,55.6,105.0,1.63,12.8065
O. Brissett,F,,12.0,97.09,60.11,5.009,0,1,12.67,-1.1,48.55,97.3,216.0,1.87,11.7815
K. Mitoglou,F,,8.2,60.2,58.65,7.152,1,0,-0.87,-0.68,0.0,60.1,117.0,1.05,11.7815
N. Melli,C,,8.6,58.27,58.28,6.777,0,0,-1.25,1.26,0.0,58.6,158.0,1.01,14.581
S. De Larrea,G,,6.7,57.3,58.03,8.661,0,0,0.69,0.04,0.0,58.0,91.0,1.2,12.8065
T. Shorts,G,,12.0,55.64,57.92,4.827,0,0,2.25,0.04,0.0,56.1,115.0,1.36,12.8065
K. Baldwin,G,,6.9,55.29,57.85,8.384,0,0,2.52,0.04,0.0,55.0,132.0,1.39,12.8065
R. Smits,F,,6.9,56.84,57.29,8.302,0,0,1.09,-0.65,0.0,57.6,148.0,1.24,11.7815
M. Santos,C,,6.7,54.52,56.45,8.425,0,0,0.76,1.18,0.0,54.1,111.0,1.21,14.581
J. Grant,G,,8.8,53.79,55.61,6.32,0,0,1.79,0.04,0.0,53.1,179.0,1.32,12.8065
D. Lighty,F,,5.4,55.71,54.47,10.087,0,0,-0.61,-0.63,0.0,56.2,155.0,1.07,11.7815
X. Rathan-mayes,G,,8.2,49.38,54.11,6.599,0,0,4.7,0.03,0.0,49.4,128.0,1.67,12.8065
S. Ojeleye,F,,9.3,55.53,54.09,5.817,0,0,-0.8,-0.63,0.0,55.7,143.0,1.05,11.7815
G. Ricci,F,,5.5,55.28,53.56,9.738,0,0,-1.09,-0.63,0.0,55.1,135.0,1.02,11.7815
A. Dokossi,F,,7.4,56.73,51.95,7.021,0,0,-4.13,-0.64,0.0,57.3,117.0,0.72,11.7815
E. Ulanovas,F,,7.8,53.28,51.72,6.63,0,0,-0.96,-0.61,0.0,52.4,189.0,1.03,11.7815
Y. Ouattara,G,,5.7,45.77,50.24,8.813,0,0,4.44,0.03,0.0,45.7,157.0,1.68,12.8065
J. Montero,G,,11.6,48.16,48.35,4.168,0,0,0.16,0.03,0.0,48.3,69.0,1.15,12.8065
J. Morgan,F,,7.8,50.21,47.58,6.1,0,0,-2.06,-0.57,0.0,50.7,122.0,0.9,11.7815
J. Parra,F,,6.5,49.5,47.43,7.297,0,0,-1.5,-0.56,0.0,50.2,117.0,0.96,11.7815
D. Sleva,F,,7.8,47.81,47.08,6.036,0,0,-0.18,-0.54,0.0,47.8,133.0,1.11,11.7815
B. Massa,C,,6.8,47.89,46.54,6.845,0,0,-2.38,1.03,0.0,48.0,124.0,0.85,14.581
S. Jovic,G,,7.0,47.81,46.06,6.579,0,0,-1.79,0.03,0.0,47.8,114.0,0.92,12.8065
K. Diop,C,,6.0,47.83,45.72,7.62,0,0,-3.14,1.03,0.0,47.8,125.0,0.76,14.581
J. Jessup,F,,6.9,47.71,45.64,6.614,0,0,-1.53,-0.54,0.0,47.6,111.0,0.95,11.7815
