game_time,team,side,lineup_status,starters,may_not_play,may_not_play_count,lineup_confirmed,starter_1,starter_2,starter_3,starter_4,starter_5
,LAC,AWAY,EXPECTED,"['James Harden', 'Kris Dunn', 'Derrick Jones', 'John Collins', 'Ivica Zubac']","['B. Beal', 'K. Leonard', 'Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Jordan Walsh', 'Neemias Queta']",7,0,James Harden,Kris Dunn,Derrick Jones,John Collins,Ivica Zubac
,BOS,HOME,EXPECTED,"['Derrick White', 'P. Pritchard', 'Jaylen Brown', 'Jordan Walsh', 'Neemias Queta']","['J. Tatum', 'R. Westbrook', 'Zach LaVine', 'DeMar DeRozan', 'P. Achiuwa', 'D. Sabonis']",6,0,Derrick White,P. Pritchard,Jaylen Brown,Jordan Walsh,Neemias Queta
,SAC,AWAY,EXPECTED,"['R. Westbrook', 'Zach LaVine', 'DeMar DeRozan', 'R. Westbrook', 'Zach LaVine']","['P. Achiuwa', 'D. Sabonis', 'K. Murray', ""De'Aaron Fox"", 'S. Castle', 'Devin Vassell', 'H. Barnes', 'V. Wembanyama']",8,0,R. Westbrook,Zach LaVine,DeMar DeRozan,R. Westbrook,Zach LaVine
,SAS,HOME,EXPECTED,"[""De'Aaron Fox"", 'S. Castle', 'Devin Vassell', 'H. Barnes', ""De'Aaron Fox""]","['V. Wembanyama', 'D. Harper', 'Egor Demin', 'Terance Mann', 'M. Porter', 'Noah Clowney', 'Nic Claxton']",7,0,De'Aaron Fox,S. Castle,Devin Vassell,H. Barnes,De'Aaron Fox
,BKN,AWAY,EXPECTED,"['Egor Demin', 'Terance Mann', 'M. Porter', 'Noah Clowney', 'Nic Claxton']","['H. Highsmith', 'Cam Thomas', 'CJ McCollum', 'Tre Johnson', 'K. George', 'K. Middleton', 'Alex Sarr']",7,0,Egor Demin,Terance Mann,M. Porter,Noah Clowney,Nic Claxton
,WAS,HOME,EXPECTED,"['CJ McCollum', 'Tre Johnson', 'K. George', 'K. Middleton', 'Alex Sarr']","['B. Coulibaly', 'Stephen Curry', 'Will Richard', 'Moses Moody', 'Jimmy Butler', 'D. Green']",6,0,CJ McCollum,Tre Johnson,K. George,K. Middleton,Alex Sarr
,GSW,AWAY,EXPECTED,"['Stephen Curry', 'Will Richard', 'Moses Moody', 'Jimmy Butler', 'D. Green']","['J. Kuminga', 'D. Melton', 'J. Fears', 'Trey Murphy', 'Herbert Jones', 'Z. Williamson', 'Kevon Looney']",7,0,Stephen Curry,Will Richard,Moses Moody,Jimmy Butler,D. Green
,NOP,HOME,EXPECTED,"['J. Fears', 'Trey Murphy', 'Herbert Jones', 'Kevon Looney', 'J. Fears']","['Z. Williamson', 'D. Murray', 'J. Poole', 'Jalen Suggs', 'Desmond Bane', 'Franz Wagner', 'T. da Silva', 'W. Carter']",8,0,J. Fears,Trey Murphy,Herbert Jones,Kevon Looney,J. Fears
,ORL,AWAY,EXPECTED,"['Jalen Suggs', 'Desmond Bane', 'Franz Wagner', 'T. da Silva', 'W. Carter']","['P. Banchero', 'M. Wagner', 'Amen Thompson', 'Josh Okogie', 'Kevin Durant', 'Jabari Smith', 'A. Sengun']",7,0,Jalen Suggs,Desmond Bane,Franz Wagner,T. da Silva,W. Carter
,HOU,HOME,EXPECTED,"['Amen Thompson', 'Josh Okogie', 'Kevin Durant', 'Jabari Smith', 'A. Sengun']","['Tari Eason', 'D. Finney-Smith', 'F. VanVleet', 'Jrue Holiday', 'S. Sharpe', 'T. Camara', 'Deni Avdija', 'D. Clingan']",8,0,Amen Thompson,Josh Okogie,Kevin Durant,Jabari Smith,A. Sengun
,POR,AWAY,EXPECTED,"['Jrue Holiday', 'S. Sharpe', 'T. Camara', 'Deni Avdija', 'D. Clingan']","['D. Lillard', 'S. Henderson', 'M. Thybulle', 'B. Wesley', 'B. Williams', 'Max Christie', 'Cooper Flagg', 'P. Washington', 'D. Gafford']",9,0,Jrue Holiday,S. Sharpe,T. Camara,Deni Avdija,D. Clingan
,DAL,HOME,EXPECTED,"['B. Williams', 'Max Christie', 'Cooper Flagg', 'D. Gafford', 'B. Williams']","['P. Washington', 'A. Davis', 'Dante Exum', 'K. Irving', 'R. Nembhard', 'Dyson Daniels', 'N. Alexander-Walker', 'Z. Risacher', 'Jalen Johnson', 'K. Porzingis']",10,0,B. Williams,Max Christie,Cooper Flagg,D. Gafford,B. Williams
,ATL,AWAY,EXPECTED,"['Dyson Daniels', 'N. Alexander-Walker', 'Z. Risacher', 'Jalen Johnson', 'K. Porzingis']","['Trae Young', 'Devin Booker', 'J. Goodwin', 'Dillon Brooks', ""Royce O'Neale"", 'Mark Williams']",6,0,Dyson Daniels,N. Alexander-Walker,Z. Risacher,Jalen Johnson,K. Porzingis
,PHX,HOME,EXPECTED,"['Devin Booker', 'J. Goodwin', 'Dillon Brooks', ""Royce O'Neale"", 'Mark Williams']","['G. Allen', 'J. Green', 'J. Giddey', 'T. Jones', 'Isaac Okoro', 'Matas Buzelis', 'N. Vucevic']",7,0,Devin Booker,J. Goodwin,Dillon Brooks,Royce O'Neale,Mark Williams
,CHI,AWAY,EXPECTED,"['Isaac Okoro', 'Matas Buzelis', 'N. Vucevic', 'J. Giddey', 'T. Jones']","['J. Giddey', 'T. Jones', 'C. White', 'Z. Collins', 'K. George', 'S. Mykhailiuk', 'Ace Bailey', 'L. Markkanen', 'Jusuf Nurkic']",9,0,Isaac Okoro,Matas Buzelis,N. Vucevic,J. Giddey,T. Jones
,UTA,HOME,EXPECTED,"['K. George', 'S. Mykhailiuk', 'Ace Bailey', 'L. Markkanen', 'Jusuf Nurkic']","['W. Kessler', 'K. Anderson', 'T. Hendricks', 'G. Niang']",4,0,K. George,S. Mykhailiuk,Ace Bailey,L. Markkanen,Jusuf Nurkic
