id,name,l3,l5,l10,all,season_id,stats_id,position_id,stat_type,position
30,Washington Wizards,3.33,2.75,3.00,2.97,19,5,3,AST,C
1,Atlanta Hawks,14.50,20.67,19.86,19.02,13,4,1,PTS,G
2,Boston Celtics,19.43,18.18,19.10,18.83,13,4,1,PTS,G
3,Brooklyn Nets,20.71,19.90,18.63,19.31,13,4,1,PTS,G
4,Charlotte Hornets,14.33,18.27,15.57,17.00,13,4,1,PTS,G
5,Chicago Bulls,21.57,21.08,20.91,18.20,13,4,1,PTS,G
6,Cleveland Cavaliers,17.50,17.11,17.26,17.56,13,4,1,PTS,G
7,Dallas Mavericks,19.33,20.43,16.95,18.12,13,4,1,PTS,G
8,Denver Nuggets,15.40,14.80,15.38,16.77,13,4,1,PTS,G
9,Detroit Pistons,15.80,19.29,17.13,20.08,13,4,1,PTS,G
10,Golden State Warriors,13.00,17.50,16.05,18.32,13,4,1,PTS,G
11,Houston Rockets,20.50,22.25,23.30,19.97,13,4,1,PTS,G
12,Indiana Pacers,21.50,19.60,17.74,19.70,13,4,1,PTS,G
13,LA Clippers,21.40,18.55,16.53,18.51,13,4,1,PTS,G
14,Los Angeles Lakers,25.20,23.22,20.26,19.73,13,4,1,PTS,G
15,Memphis Grizzlies,16.33,13.40,17.08,18.30,13,4,1,PTS,G
16,Miami Heat,15.14,14.36,16.63,18.68,13,4,1,PTS,G
17,Milwaukee Bucks,23.00,20.43,21.25,21.33,13,4,1,PTS,G
18,Minnesota Timberwolves,21.60,20.40,17.95,17.49,13,4,1,PTS,G
19,New Orleans Pelicans,24.80,20.91,18.59,19.26,13,4,1,PTS,G
20,New York Knicks,16.71,16.55,17.09,17.57,13,4,1,PTS,G
21,Oklahoma City Thunder,16.00,20.29,16.76,18.10,13,4,1,PTS,G
22,Orlando Magic,21.50,19.00,17.61,18.66,13,4,1,PTS,G
23,Philadelphia 76ers,15.00,16.33,15.94,18.30,13,4,1,PTS,G
24,Phoenix Suns,22.60,20.78,18.63,19.18,13,4,1,PTS,G
25,Portland Trail Blazers,15.17,15.44,15.53,18.77,13,4,1,PTS,G
26,Sacramento Kings,19.83,20.20,20.67,18.98,13,4,1,PTS,G
27,San Antonio Spurs,18.60,19.44,20.15,20.10,13,4,1,PTS,G
28,Toronto Raptors,17.80,21.13,21.82,18.57,13,4,1,PTS,G
29,Utah Jazz,25.67,19.25,19.50,19.33,13,4,1,PTS,G
30,Washington Wizards,28.83,24.27,22.20,21.11,13,4,1,PTS,G
1,Atlanta Hawks,18.67,19.50,21.07,19.67,13,4,2,PTS,F
2,Boston Celtics,13.00,13.40,16.40,16.90,13,4,2,PTS,F
3,Brooklyn Nets,14.00,15.78,20.25,18.29,13,4,2,PTS,F
4,Charlotte Hornets,15.00,12.75,18.67,18.05,13,4,2,PTS,F
5,Chicago Bulls,14.40,17.14,15.31,17.79,13,4,2,PTS,F
6,Cleveland Cavaliers,19.83,20.09,19.62,18.12,13,4,2,PTS,F
7,Dallas Mavericks,14.67,15.86,15.19,18.56,13,4,2,PTS,F
8,Denver Nuggets,26.00,22.50,21.43,18.14,13,4,2,PTS,F
9,Detroit Pistons,20.67,15.57,17.35,20.02,13,4,2,PTS,F
10,Golden State Warriors,15.67,16.67,18.00,18.73,13,4,2,PTS,F
11,Houston Rockets,12.20,13.71,13.93,17.64,13,4,2,PTS,F
12,Indiana Pacers,12.50,17.40,19.31,20.47,13,4,2,PTS,F
13,LA Clippers,20.40,19.13,19.28,17.90,13,4,2,PTS,F
14,Los Angeles Lakers,18.13,16.10,15.63,18.86,13,4,2,PTS,F
15,Memphis Grizzlies,23.75,21.67,19.08,17.73,13,4,2,PTS,F
16,Miami Heat,19.00,19.00,14.75,17.30,13,4,2,PTS,F
17,Milwaukee Bucks,23.67,17.00,17.65,17.37,13,4,2,PTS,F
18,Minnesota Timberwolves,16.50,18.00,17.69,17.37,13,4,2,PTS,F
19,New Orleans Pelicans,18.25,17.00,18.86,17.56,13,4,2,PTS,F
20,New York Knicks,18.20,20.22,20.00,18.79,13,4,2,PTS,F
21,Oklahoma City Thunder,11.00,12.88,17.13,17.40,13,4,2,PTS,F
22,Orlando Magic,16.86,19.00,17.29,17.01,13,4,2,PTS,F
23,Philadelphia 76ers,15.33,16.91,16.59,17.71,13,4,2,PTS,F
24,Phoenix Suns,16.20,15.17,15.95,18.41,13,4,2,PTS,F
25,Portland Trail Blazers,14.75,18.13,16.60,18.22,13,4,2,PTS,F
26,Sacramento Kings,17.14,15.00,14.67,19.13,13,4,2,PTS,F
27,San Antonio Spurs,12.00,13.43,14.93,17.97,13,4,2,PTS,F
28,Toronto Raptors,13.00,16.14,17.92,19.52,13,4,2,PTS,F
29,Utah Jazz,16.00,11.00,16.00,20.21,13,4,2,PTS,F
30,Washington Wizards,16.33,15.83,17.94,19.12,13,4,2,PTS,F
1,Atlanta Hawks,25.00,18.00,14.40,15.56,13,4,3,PTS,C
2,Boston Celtics,8.50,13.00,12.75,17.34,13,4,3,PTS,C
3,Brooklyn Nets,0.00,0.00,13.00,14.63,13,4,3,PTS,C
4,Charlotte Hornets,0.00,0.00,20.33,17.78,13,4,3,PTS,C
5,Chicago Bulls,14.00,12.50,13.00,16.68,13,4,3,PTS,C
6,Cleveland Cavaliers,11.67,11.67,12.33,14.38,13,4,3,PTS,C
7,Dallas Mavericks,9.00,9.00,8.00,15.80,13,4,3,PTS,C
8,Denver Nuggets,13.25,15.33,15.70,17.48,13,4,3,PTS,C
9,Detroit Pistons,27.00,23.00,18.43,18.10,13,4,3,PTS,C
10,Golden State Warriors,18.00,15.67,13.80,17.05,13,4,3,PTS,C
11,Houston Rockets,16.00,12.50,16.00,16.94,13,4,3,PTS,C
12,Indiana Pacers,21.00,20.75,19.83,17.85,13,4,3,PTS,C
13,LA Clippers,3.00,13.33,19.00,15.97,13,4,3,PTS,C
14,Los Angeles Lakers,6.00,15.00,14.17,15.61,13,4,3,PTS,C
15,Memphis Grizzlies,14.33,14.33,15.29,16.33,13,4,3,PTS,C
16,Miami Heat,0.00,14.00,19.00,14.63,13,4,3,PTS,C
17,Milwaukee Bucks,0.00,18.00,14.67,16.89,13,4,3,PTS,C
18,Minnesota Timberwolves,41.00,30.00,22.20,17.26,13,4,3,PTS,C
19,New Orleans Pelicans,0.00,18.00,14.20,16.03,13,4,3,PTS,C
20,New York Knicks,19.00,19.25,18.00,13.88,13,4,3,PTS,C
21,Oklahoma City Thunder,0.00,0.00,20.50,17.09,13,4,3,PTS,C
22,Orlando Magic,17.67,15.25,15.83,15.40,13,4,3,PTS,C
23,Philadelphia 76ers,0.00,5.00,14.25,17.39,13,4,3,PTS,C
24,Phoenix Suns,16.50,16.50,15.29,16.24,13,4,3,PTS,C
25,Portland Trail Blazers,20.00,20.00,18.50,18.21,13,4,3,PTS,C
26,Sacramento Kings,11.50,11.50,9.20,14.79,13,4,3,PTS,C
27,San Antonio Spurs,21.50,19.00,21.20,20.66,13,4,3,PTS,C
28,Toronto Raptors,14.00,14.00,14.00,16.55,13,4,3,PTS,C
29,Utah Jazz,0.00,28.00,23.33,17.58,13,4,3,PTS,C
30,Washington Wizards,19.00,24.67,22.17,19.36,13,4,3,PTS,C
1,Atlanta Hawks,4.50,4.67,5.00,4.53,13,26,1,REB,G
2,Boston Celtics,4.71,3.91,3.86,4.59,13,26,1,REB,G
3,Brooklyn Nets,4.86,4.40,4.16,4.76,13,26,1,REB,G
4,Charlotte Hornets,3.17,5.18,4.86,4.52,13,26,1,REB,G
5,Chicago Bulls,5.00,4.92,5.30,4.52,13,26,1,REB,G
6,Cleveland Cavaliers,4.50,4.22,3.58,4.30,13,26,1,REB,G
7,Dallas Mavericks,4.67,4.00,4.95,4.58,13,26,1,REB,G
8,Denver Nuggets,4.80,3.60,4.05,4.10,13,26,1,REB,G
9,Detroit Pistons,5.60,5.57,4.60,4.17,13,26,1,REB,G
10,Golden State Warriors,3.75,3.50,3.86,4.23,13,26,1,REB,G
11,Houston Rockets,6.00,6.00,5.50,4.74,13,26,1,REB,G
12,Indiana Pacers,3.83,4.30,4.74,4.58,13,26,1,REB,G
13,LA Clippers,3.80,4.09,4.29,4.13,13,26,1,REB,G
14,Los Angeles Lakers,6.60,5.33,4.11,4.50,13,26,1,REB,G
15,Memphis Grizzlies,4.33,4.80,3.67,4.71,13,26,1,REB,G
16,Miami Heat,3.00,3.91,4.63,4.57,13,26,1,REB,G
17,Milwaukee Bucks,5.50,5.86,6.56,5.19,13,26,1,REB,G
18,Minnesota Timberwolves,4.60,4.40,4.27,4.09,13,26,1,REB,G
19,New Orleans Pelicans,3.40,3.45,3.59,3.84,13,26,1,REB,G
20,New York Knicks,3.86,4.64,4.78,4.13,13,26,1,REB,G
21,Oklahoma City Thunder,3.67,4.43,5.00,4.72,13,26,1,REB,G
22,Orlando Magic,5.00,5.30,5.50,4.19,13,26,1,REB,G
23,Philadelphia 76ers,3.75,3.89,3.89,4.47,13,26,1,REB,G
24,Phoenix Suns,5.00,6.67,5.50,4.70,13,26,1,REB,G
25,Portland Trail Blazers,7.00,6.00,4.88,4.49,13,26,1,REB,G
26,Sacramento Kings,4.83,4.90,4.48,4.23,13,26,1,REB,G
27,San Antonio Spurs,5.00,6.67,5.15,4.68,13,26,1,REB,G
28,Toronto Raptors,4.60,4.38,3.82,4.36,13,26,1,REB,G
29,Utah Jazz,7.33,4.88,5.61,4.67,13,26,1,REB,G
30,Washington Wizards,4.67,5.45,4.85,4.93,13,26,1,REB,G
1,Atlanta Hawks,3.00,5.33,6.40,6.42,13,26,2,REB,F
2,Boston Celtics,5.00,8.40,8.87,6.92,13,26,2,REB,F
3,Brooklyn Nets,5.50,7.44,8.31,6.75,13,26,2,REB,F
4,Charlotte Hornets,7.00,7.75,8.27,6.61,13,26,2,REB,F
5,Chicago Bulls,8.20,7.14,5.92,6.69,13,26,2,REB,F
6,Cleveland Cavaliers,6.00,6.27,6.43,6.43,13,26,2,REB,F
7,Dallas Mavericks,5.33,5.57,6.81,6.99,13,26,2,REB,F
8,Denver Nuggets,7.20,6.63,6.86,6.64,13,26,2,REB,F
9,Detroit Pistons,5.00,5.00,6.24,6.07,13,26,2,REB,F
10,Golden State Warriors,6.22,6.50,6.00,6.83,13,26,2,REB,F
11,Houston Rockets,5.20,6.57,6.64,6.64,13,26,2,REB,F
12,Indiana Pacers,3.50,5.00,4.69,6.52,13,26,2,REB,F
13,LA Clippers,7.80,7.00,7.28,6.52,13,26,2,REB,F
14,Los Angeles Lakers,4.50,4.50,5.68,6.86,13,26,2,REB,F
15,Memphis Grizzlies,8.50,7.33,7.62,6.61,13,26,2,REB,F
16,Miami Heat,7.67,7.83,7.00,6.58,13,26,2,REB,F
17,Milwaukee Bucks,7.33,6.43,6.71,6.57,13,26,2,REB,F
18,Minnesota Timberwolves,6.00,6.50,6.85,6.15,13,26,2,REB,F
19,New Orleans Pelicans,8.13,7.64,7.76,7.02,13,26,2,REB,F
20,New York Knicks,6.20,6.33,6.58,5.92,13,26,2,REB,F
21,Oklahoma City Thunder,5.33,6.75,6.56,6.95,13,26,2,REB,F
22,Orlando Magic,6.43,6.11,5.81,6.08,13,26,2,REB,F
23,Philadelphia 76ers,8.83,9.09,7.09,7.06,13,26,2,REB,F
24,Phoenix Suns,7.20,6.58,6.21,6.60,13,26,2,REB,F
25,Portland Trail Blazers,5.25,5.50,5.53,6.30,13,26,2,REB,F
26,Sacramento Kings,7.29,7.42,6.56,6.57,13,26,2,REB,F
27,San Antonio Spurs,3.67,5.57,6.73,7.02,13,26,2,REB,F
28,Toronto Raptors,4.40,6.14,6.00,6.79,13,26,2,REB,F
29,Utah Jazz,6.00,6.67,6.00,5.76,13,26,2,REB,F
30,Washington Wizards,13.33,11.00,9.56,7.12,13,26,2,REB,F
1,Atlanta Hawks,19.00,13.33,11.20,11.68,13,26,3,REB,C
2,Boston Celtics,9.00,10.67,11.25,10.46,13,26,3,REB,C
3,Brooklyn Nets,0.00,0.00,10.00,10.46,13,26,3,REB,C
4,Charlotte Hornets,0.00,0.00,11.67,11.28,13,26,3,REB,C
5,Chicago Bulls,12.00,9.00,8.63,10.66,13,26,3,REB,C
6,Cleveland Cavaliers,7.67,7.67,9.50,10.28,13,26,3,REB,C
7,Dallas Mavericks,6.50,6.50,8.67,10.24,13,26,3,REB,C
8,Denver Nuggets,11.00,11.17,10.30,9.52,13,26,3,REB,C
9,Detroit Pistons,11.00,10.33,12.00,10.52,13,26,3,REB,C
10,Golden State Warriors,14.50,11.67,11.60,10.69,13,26,3,REB,C
11,Houston Rockets,11.00,7.50,9.40,10.33,13,26,3,REB,C
12,Indiana Pacers,7.67,8.75,10.00,9.66,13,26,3,REB,C
13,LA Clippers,19.00,11.67,13.00,12.03,13,26,3,REB,C
14,Los Angeles Lakers,5.00,9.40,8.67,10.34,13,26,3,REB,C
15,Memphis Grizzlies,12.33,12.33,11.00,11.44,13,26,3,REB,C
16,Miami Heat,0.00,12.00,9.33,10.72,13,26,3,REB,C
17,Milwaukee Bucks,0.00,10.00,8.00,10.20,13,26,3,REB,C
18,Minnesota Timberwolves,11.00,10.50,8.80,9.61,13,26,3,REB,C
19,New Orleans Pelicans,0.00,11.50,10.60,10.21,13,26,3,REB,C
20,New York Knicks,11.50,8.25,9.17,9.93,13,26,3,REB,C
21,Oklahoma City Thunder,0.00,0.00,9.00,11.38,13,26,3,REB,C
22,Orlando Magic,6.67,6.25,7.67,9.05,13,26,3,REB,C
23,Philadelphia 76ers,0.00,7.00,8.50,9.95,13,26,3,REB,C
24,Phoenix Suns,9.50,9.50,8.43,8.88,13,26,3,REB,C
25,Portland Trail Blazers,4.00,4.00,8.50,10.32,13,26,3,REB,C
26,Sacramento Kings,10.00,10.00,9.20,9.38,13,26,3,REB,C
27,San Antonio Spurs,12.00,11.00,10.60,11.29,13,26,3,REB,C
28,Toronto Raptors,11.00,11.00,11.00,11.48,13,26,3,REB,C
29,Utah Jazz,0.00,13.00,10.67,10.48,13,26,3,REB,C
30,Washington Wizards,16.00,12.67,13.00,12.86,13,26,3,REB,C
1,Atlanta Hawks,8.50,7.00,4.43,5.32,13,5,1,AST,G
2,Boston Celtics,5.43,5.64,4.95,4.65,13,5,1,AST,G
3,Brooklyn Nets,4.43,5.00,5.16,5.10,13,5,1,AST,G
4,Charlotte Hornets,4.33,5.91,5.62,5.45,13,5,1,AST,G
5,Chicago Bulls,5.71,5.58,5.43,5.98,13,5,1,AST,G
6,Cleveland Cavaliers,5.50,4.89,5.84,4.89,13,5,1,AST,G
7,Dallas Mavericks,3.67,5.57,4.84,5.43,13,5,1,AST,G
8,Denver Nuggets,4.80,4.80,5.67,4.91,13,5,1,AST,G
9,Detroit Pistons,4.40,4.71,5.33,5.42,13,5,1,AST,G
10,Golden State Warriors,4.75,4.25,4.95,5.09,13,5,1,AST,G
11,Houston Rockets,4.83,4.42,4.85,4.66,13,5,1,AST,G
12,Indiana Pacers,4.83,4.60,4.79,4.47,13,5,1,AST,G
13,LA Clippers,4.80,4.00,4.59,4.93,13,5,1,AST,G
14,Los Angeles Lakers,5.40,5.11,5.05,5.46,13,5,1,AST,G
15,Memphis Grizzlies,9.00,6.60,5.92,5.27,13,5,1,AST,G
16,Miami Heat,3.86,4.64,5.17,5.63,13,5,1,AST,G
17,Milwaukee Bucks,3.50,5.00,5.63,5.46,13,5,1,AST,G
18,Minnesota Timberwolves,3.80,5.00,4.68,4.93,13,5,1,AST,G
19,New Orleans Pelicans,4.00,5.00,4.59,5.09,13,5,1,AST,G
20,New York Knicks,3.43,3.82,4.09,5.11,13,5,1,AST,G
21,Oklahoma City Thunder,2.67,5.00,5.06,5.25,13,5,1,AST,G
22,Orlando Magic,5.00,4.80,5.06,4.72,13,5,1,AST,G
23,Philadelphia 76ers,2.75,4.00,4.56,5.35,13,5,1,AST,G
24,Phoenix Suns,4.40,5.00,4.94,5.68,13,5,1,AST,G
25,Portland Trail Blazers,3.83,4.44,4.71,5.15,13,5,1,AST,G
26,Sacramento Kings,5.50,4.60,5.10,5.22,13,5,1,AST,G
27,San Antonio Spurs,4.20,4.44,4.75,5.88,13,5,1,AST,G
28,Toronto Raptors,5.20,5.75,6.12,6.01,13,5,1,AST,G
29,Utah Jazz,5.67,5.63,6.78,6.05,13,5,1,AST,G
30,Washington Wizards,7.33,7.36,5.90,5.85,13,5,1,AST,G
1,Atlanta Hawks,2.00,3.00,3.47,3.74,13,5,2,AST,F
2,Boston Celtics,1.00,3.60,3.40,3.11,13,5,2,AST,F
3,Brooklyn Nets,1.50,2.67,3.19,3.24,13,5,2,AST,F
4,Charlotte Hornets,6.50,4.50,3.80,3.70,13,5,2,AST,F
5,Chicago Bulls,4.40,4.00,3.54,3.88,13,5,2,AST,F
6,Cleveland Cavaliers,2.17,3.36,3.29,3.37,13,5,2,AST,F
7,Dallas Mavericks,3.67,3.43,3.56,3.58,13,5,2,AST,F
8,Denver Nuggets,3.00,3.00,3.21,3.40,13,5,2,AST,F
9,Detroit Pistons,4.33,3.00,3.53,3.51,13,5,2,AST,F
10,Golden State Warriors,2.00,2.75,2.70,3.51,13,5,2,AST,F
11,Houston Rockets,2.40,2.86,3.07,3.34,13,5,2,AST,F
12,Indiana Pacers,2.50,3.00,2.81,3.24,13,5,2,AST,F
13,LA Clippers,4.80,4.88,4.17,3.52,13,5,2,AST,F
14,Los Angeles Lakers,4.00,3.80,3.32,3.88,13,5,2,AST,F
15,Memphis Grizzlies,3.00,3.17,4.69,3.38,13,5,2,AST,F
16,Miami Heat,2.33,2.33,2.92,3.34,13,5,2,AST,F
17,Milwaukee Bucks,5.33,4.14,3.29,3.16,13,5,2,AST,F
18,Minnesota Timberwolves,1.50,2.67,3.85,3.01,13,5,2,AST,F
19,New Orleans Pelicans,5.50,4.73,4.76,3.70,13,5,2,AST,F
20,New York Knicks,3.20,3.78,4.21,3.45,13,5,2,AST,F
21,Oklahoma City Thunder,2.33,3.25,3.00,3.53,13,5,2,AST,F
22,Orlando Magic,2.29,2.89,3.00,2.86,13,5,2,AST,F
23,Philadelphia 76ers,3.33,3.36,3.55,3.42,13,5,2,AST,F
24,Phoenix Suns,3.00,3.50,3.53,3.12,13,5,2,AST,F
25,Portland Trail Blazers,2.25,2.38,2.53,3.28,13,5,2,AST,F
26,Sacramento Kings,3.57,3.08,2.83,3.38,13,5,2,AST,F
27,San Antonio Spurs,1.33,3.00,3.47,3.67,13,5,2,AST,F
28,Toronto Raptors,5.00,4.43,4.31,3.72,13,5,2,AST,F
29,Utah Jazz,1.00,1.67,2.58,3.66,13,5,2,AST,F
30,Washington Wizards,1.67,2.50,3.56,3.63,13,5,2,AST,F
1,Atlanta Hawks,0.00,6.00,4.20,2.95,13,5,3,AST,C
2,Boston Celtics,4.00,3.33,3.25,3.46,13,5,3,AST,C
3,Brooklyn Nets,0.00,0.00,4.00,3.40,13,5,3,AST,C
4,Charlotte Hornets,0.00,0.00,1.33,2.33,13,5,3,AST,C
5,Chicago Bulls,3.50,4.00,3.38,3.04,13,5,3,AST,C
6,Cleveland Cavaliers,3.33,3.33,5.67,2.55,13,5,3,AST,C
7,Dallas Mavericks,1.00,1.00,1.33,3.08,13,5,3,AST,C
8,Denver Nuggets,2.50,2.50,2.10,3.14,13,5,3,AST,C
9,Detroit Pistons,4.00,5.00,3.57,2.90,13,5,3,AST,C
10,Golden State Warriors,1.50,1.33,1.80,3.46,13,5,3,AST,C
11,Houston Rockets,2.00,2.50,2.60,3.08,13,5,3,AST,C
12,Indiana Pacers,3.00,3.00,2.67,3.34,13,5,3,AST,C
13,LA Clippers,10.00,5.00,6.25,3.73,13,5,3,AST,C
14,Los Angeles Lakers,0.00,2.00,2.17,3.34,13,5,3,AST,C
15,Memphis Grizzlies,3.67,3.67,2.14,2.64,13,5,3,AST,C
16,Miami Heat,0.00,2.00,2.33,2.31,13,5,3,AST,C
17,Milwaukee Bucks,0.00,1.00,2.00,3.43,13,5,3,AST,C
18,Minnesota Timberwolves,7.00,3.50,3.80,2.61,13,5,3,AST,C
19,New Orleans Pelicans,0.00,3.50,2.80,3.79,13,5,3,AST,C
20,New York Knicks,3.00,2.00,2.50,2.71,13,5,3,AST,C
21,Oklahoma City Thunder,0.00,0.00,6.00,3.62,13,5,3,AST,C
22,Orlando Magic,3.67,3.25,3.00,3.13,13,5,3,AST,C
23,Philadelphia 76ers,0.00,2.00,4.75,3.00,13,5,3,AST,C
24,Phoenix Suns,2.50,2.50,3.86,3.18,13,5,3,AST,C
25,Portland Trail Blazers,3.00,3.00,4.00,3.18,13,5,3,AST,C
26,Sacramento Kings,3.00,3.00,4.20,3.79,13,5,3,AST,C
27,San Antonio Spurs,6.50,5.00,5.00,2.89,13,5,3,AST,C
28,Toronto Raptors,4.00,4.00,4.00,3.35,13,5,3,AST,C
29,Utah Jazz,0.00,7.00,5.67,3.33,13,5,3,AST,C
30,Washington Wizards,3.00,3.67,3.00,3.33,13,5,3,AST,C
